lemma:	##
enter	13933
lower	13905
statement	13899
eat	13830
wonder	13819
principle	13774
drink	13741
fight	13737
express	13732
simple	13720
doctor	13715
player	13711
contact	13684
mark	13658
arrive	13630
pull	13613
inside	13607
choice	13600
per	13600
attention	13583
&	13577
as if	13516
machine	13488
refer	13484
green	13461
association	13456
6	13445
more than	13444
income	13442
hotel	13437
affect	13433
nine	13416
cup	13387
thought	13383
relate	13367
1989	13362
finish	13344
organisation	13344
park	13336
village	13315
professional	13275
technology	13250
german	13224
lack	13204
fit	13188
vote	13157
identify	13157
resource	13141
left	13103
effort	13091
20	13090
cell	13052
Scotland	13045
review	13028
drop	12999
difficulty	12998
treatment	12985
legal	12981
modern	12977
energy	12969
release	12965
male	12959
provision	12954
degree	12885
growth	12879
compare	12858
limit	12855
county	12835
rights	12830
grant	12810
1991	12808
manage	12807
king	12804
whatever	12793
everyone	12791
style	12761
exercise	12739
obtain	12689
behaviour	12685
commission	12684
task	12664
dark	12659
mile	12648
nice	12643
east	12642
thank	12621
middle	12617
whom	12596
finally	12582
defence	12567
announce	12563
science	12555
college	12552
aid	12531
skill	12515
user	12497
gon	12462
response	12460
west	12452
race	12376
trust	12367
investment	12364
mention	12345
dog	12316
prime	12316
character	12313
treat	12312
gain	12281
economy	12279
hall	12275
horse	12267
throughout	12261
check	12245
ring	12241
maintain	12238
alone	12228
normal	12206
bill	12205
indicate	12196
recently	12178
army	12165
publish	12149
floor	12145
save	12144
France	12144
feeling	12136
post	12131
season	12131
strike	12115
title	12101
okay	12100
serious	12093
previous	12072
worth	12064
12	12057
suffer	12055
regard	12035
comment	12018
nor	12016
hit	12015
argument	12003
Peter	11997
myself	11996
significant	11988
responsibility	11979
travel	11971
St	11942
address	11891
separate	11868
profit	11861
element	11858
wide	11846
July	11842
quickly	11839
avoid	11836
determine	11822
dead	11794
cold	11785
campaign	11763
appropriate	11729
forget	11724
brother	11720
husband	11711
soviet	11706
anyway	11679
duty	11666
tend	11663
cross	11639
judge	11635
Sir	11607
transfer	11582
discussion	11532
object	11525
seat	11515
suppose	11497
aspect	11495
original	11472
generally	11457
chairman	11444
box	11426
industrial	11424
United	11422
access	11410
miss	11396
glass	11383
fish	11367
30	11363
beyond	11363
sea	11349
remove	11341
happy	11340
chief	11337
customer	11332
summer	11320
institution	11319
president	11312
throw	11303
military	11299
potential	11269
away from	11268
Paul	11242
specific	11234
leg	11230
link	11221
doubt	11212
exist	11203
daughter	11197
sun	11191
encourage	11190
nearly	11176
conference	11150
division	11142
listen	11134
reflect	11129
a bit	11100
survey	11065
procedure	11059
exchange	11038
proposal	11026
suddenly	11014
damage	11001
baby	10996
star	10996
sector	10976
as well	10961
assume	10956
image	10950
improve	10948
Dr	10940
display	10926
stone	10925
replace	10922
in order	10895
admit	10883
laugh	10875
15	10863
prepare	10858
circumstance	10842
unless	10838
touch	10833
client	10821
average	10771
sorry	10770
George	10765
fill	10752
balance	10711
successful	10704
7	10686
disease	10683
push	10680
obviously	10665
employment	10664
direction	10661
surface	10655
basic	10652
independent	10648
Lord	10635
goal	10632
bar	10628
attitude	10620
refuse	10613
intend	10591
according to	10552
trouble	10551
hon.	10547
October	10544
holiday	10522
technique	10484
aware	10479
wind	10471
document	10466
prevent	10440
version	10425
copy	10418
item	10413
pupil	10409
target	10403
popular	10391
ability	10389
New	10379
affair	10375
drug	10373
September	10337
De	10335
yourself	10328
advice	10316
fly	10309
1988	10308
exactly	10307
discover	10298
each other	10289
oil	10288
Germany	10266
reply	10250
1992	10249
alternative	10240
deep	10230
culture	10221
library	10220
teach	10201
America	10185
reveal	10182
operate	10179
advantage	10173
rock	10160
thousand	10151
sleep	10151
reference	10144
immediately	10144
challenge	10140
variety	10132
ready	10124
chair	10099
speaker	10098
January	10097
stock	10093
competition	10068
goods	10052
shape	10042
blue	10030
maybe	10029
enable	10022
flat	10011
majority	10008
depend	9996
parliament	9990
complex	9977
James	9971
extent	9971
useful	9961
memory	9932
television	9921
effective	9905
scottish	9888
ah	9881
file	9878
payment	9863
text	9824
blood	9824
sentence	9811
budget	9805
female	9773
extra	9772
double	9746
facility	9734
working	9728
traditional	9715
dress	9702
8	9691
western	9676
York	9675
context	9673
easily	9637
edge	9617
extend	9614
phone	9594
associate	9593
lady	9591
importance	9579
planning	9577
Richard	9574
search	9568
Ireland	9565
species	9563
mouth	9552
article	9546
communication	9540
collection	9533
arise	9523
weight	9522
a little	9514
Street	9511
primary	9505
card	9501
agency	9500
transport	9497
promise	9495
involved	9478
speed	9467
considerable	9467
means	9461
v	9457
realise	9451
physical	9445
focus	9438
Michael	9437
score	9435
interesting	9431
define	9426
lift	9425
debate	9414
existing	9405
possibility	9403
progress	9398
software	9387
conservative	9380
career	9352
in terms of	9351
scale	9337
solution	9334
December	9316
responsible	9314
district	9307
welcome	9306
November	9301
network	9298
earth	9291
executive	9279
examine	9274
organization	9271
sport	9254
medical	9249
requirement	9241
beat	9240
Wales	9236
quarter	9234
occasion	9220
11	9202
heavy	9191
recognise	9155
opposition	9150
option	9150
s	9149
telephone	9148
opinion	9119
bird	9111
fair	9101
Sunday	9092
railway	9076
thirty	9025
band	9010
store	9010
reform	9008
highly	9006
concept	8995
attend	8994
radio	8982
essential	8966
partner	8953
Charles	8941
arrangement	8939
objective	8935
employee	8917
waste	8915
sex	8911
tomorrow	8907
forest	8903
finance	8889
farm	8872
equipment	8869
interview	8863
n	8862
eventually	8860
shake	8858
river	8834
hot	8827
strategy	8816
p	8814
hang	8800
fully	8795
ball	8788
ii	8780
straight	8777
corner	8763
failure	8759
finger	8756
branch	8755
on to	8753
older	8731
perform	8728
speech	8719
cash	8718
reader	8704
peace	8704
status	8704
message	8694
owner	8687
estimate	8659
otherwise	8649
crime	8646
scene	8626
launch	8618
christmas	8614
directly	8607
credit	8603
slightly	8597
adopt	8592
protect	8573
clean	8570
West	8567
dream	8561
interested	8551
dear	8547
mum	8538
confirm	8531
shoulder	8526
safety	8523
afternoon	8521
expression	8519
league	8495
civil	8492
Oxford	8482
sister	8481
marriage	8480
trial	8480
1987	8458
fifty	8440
nation	8435
senior	8422
stress	8417
hardly	8415
States	8404
positive	8399
track	8396
beautiful	8394
truth	8391
environmental	8387
mass	8355
completely	8339
length	8335
master	8335
alright	8329
February	8327
adult	8327
studio	8323
obvious	8304
spirit	8291
ship	8287
no longer	8265
accident	8262
tea	8261
stick	8258
kitchen	8246
newspaper	8242
pair	8241
wave	8234
William	8234
commercial	8233
christian	8232
advance	8228
mine	8211
annual	8204
block	8186
gas	8166
Saturday	8143
normally	8133
contribution	8129
none	8112
nuclear	8109
museum	8107
pain	8104
stare	8086
tour	8071
strength	8068
let'	8055
dry	8052
living	8047
protection	8044
18	8030
conduct	8017
16	8011
shoot	8004
sample	7991
imagine	7976
agent	7971
neither	7954
meaning	7943
battle	7942
due	7941
representative	7941
cry	7938
struggle	7938
9	7929
joint	7920
contrast	7918
14	7916
media	7910
candidate	7903
relevant	7902
presence	7895
employ	7893
murder	7892
proportion	7890
1986	7877
August	7859
route	7845
island	7843
flow	7835
collect	7833
spring	7833
suit	7824
plus	7822
guide	7820
relatively	7815
Robert	7814
distance	7812
regional	7812
Of course	7811
assessment	7807
artist	7798
marry	7794
regular	7792
flower	7780
stuff	7777
consideration	7764
consequence	7763
request	7753
Africa	7749
overall	7731
bottom	7724
d	7712
driver	7712
impact	7712
Smith	7709
worry	7702
Miss	7692
video	7688
practical	7674
latter	7669
understanding	7664
25	7663
count	7655
huge	7648
fast	7636
correct	7636
gold	7625
beginning	7621
warm	7614
Road	7606
appoint	7605
apparently	7600
net	7576
emerge	7575
pretty	7560
13	7556
larger	7535
skin	7516
deny	7509
rain	7490
package	7488
spread	7488
feed	7477
mhm	7474
reaction	7455
equal	7454
spot	7447
conflict	7442
danger	7441
sight	7434
expert	7429
belief	7426
decline	7424
merely	7423
m	7420
purchase	7417
slowly	7405
winter	7404
relative	7397
secure	7390
conclusion	7390
due to	7360
observe	7358
bag	7350
politics	7350
propose	7341
additional	7336
1985	7332
handle	7322
path	7307
estate	7302
hole	7289
boat	7276
e	7275
largely	7271
escape	7270
instead	7263
debt	7258
active	7239
repeat	7221
employer	7219
vehicle	7211
row	7211
smaller	7198
reality	7196
weekend	7191
settle	7174
writer	7173
wine	7168
tear	7148
slow	7147
injury	7145
tie	7140
respond	7135
farmer	7112
blow	7096
insurance	7090
survive	7084
powerful	7070
desire	7048
possibly	7046
nevertheless	7045
except	7043
colleague	7039
concentrate	7038
prison	7033
currently	7026
longer	7024
ride	7019
somebody	7016
justice	7014
mainly	7011
arrange	6999
lord	6997
daily	6976
legislation	6969
initial	6965
confidence	6962
dance	6956
ignore	6956
commitment	6954
painting	6952
generation	6950
select	6949
shift	6944
bridge	6937
clothes	6932
worse	6927
roll	6917
sum	6915
volume	6914
threat	6913
For example	6910
100	6908
t	6894
code	6878
sir	6870
secret	6869
introduction	6865
domestic	6862
entry	6860
visitor	6855
author	6849
bloody	6844
discipline	6832
Mary	6831
impossible	6826
ordinary	6822
carefully	6816
bus	6811
background	6805
united	6805
paint	6805
administration	6804
actual	6803
previously	6797
sexual	6783
regulation	6777
characteristic	6760
cabinet	6759
entirely	6741
investigation	6740
technical	6738
50	6730
square	6729
loan	6721
Thomas	6721
song	6714
acquire	6712
safe	6707
Ec	6700
as to	6699
demonstrate	6693
engine	6689
extremely	6688
football	6685
internal	6683
Henry	6679
screen	6673
dad	6670
respect	6667
tape	6658
print	6650
somewhere	6649
category	6646
exhibition	6644
South	6644
consumer	6639
yard	6632
threaten	6631
victim	6630
prefer	6623
excellent	6620
construction	6619
commit	6618
tradition	6615
fresh	6614
chemical	6612
russian	6603
relief	6599
x	6598
experiment	6590
fairly	6584
heat	6578
housing	6578
improvement	6573
tonight	6570
increasingly	6567
traffic	6561
wood	6557
divide	6555
promote	6537
session	6536
distribution	6535
northern	6534
meal	6533
description	6527
rich	6516
Japan	6516
insist	6515
forty	6512
existence	6505
bind	6488
even if	6483
tv	6475
Edward	6469
equally	6465
latest	6462
religious	6459
retain	6449
output	6444
photograph	6444
24	6443
appearance	6435
sheet	6434
cultural	6432
reject	6420
liberal	6415
crisis	6412
channel	6409
unemployment	6409
switch	6402
program	6401
famous	6400
twelve	6398
pension	6376
coffee	6372
deliver	6368
assess	6357
inc	6353
consist	6352
limited	6352
proper	6349
nurse	6349
asset	6345
audience	6339
Mark	6338
formal	6335
plate	6330
pack	6329
protest	6317
attract	6315
theatre	6314
ideal	6312
contribute	6300
17	6297
hide	6297
freedom	6291
dinner	6277
arrest	6276
vary	6271
magazine	6268
mistake	6262
institute	6252
explanation	6251
&formula;	6248
trip	6245
flight	6244
impose	6236
map	6221
selection	6215
capacity	6215
shout	6206
youth	6205
gentleman	6190
examination	6186
content	6182
conversation	6182
rural	6179
substantial	6174
climb	6171
surprise	6169
whereas	6169
victory	6163
reasonable	6162
papers	6160
usual	6159
belong	6158
intention	6156
invite	6155
aircraft	6153
unable	6141
reduction	6138
decade	6134
glance	6133
warn	6130
egg	6127
register	6119
declare	6117
lip	6115
empty	6112
definition	6112
recall	6100
grounds	6100
crowd	6098
japanese	6095
mountain	6091
leading	6091
kid	6089
twice	6087
signal	6074
ahead	6060
onto	6059
factory	6058
quiet	6057
strange	6053
lovely	6047
fourth	6047
reserve	6046
phase	6046
stretch	6039
surely	6032
destroy	6024
suitable	6021
immediate	5999
offence	5997
combine	5991
detailed	5986
opposite	5985
thanks	5982
nod	5975
v.	5967
jump	5963
acid	5956
Edinburgh	5946
sing	5945
burn	5938
delay	5934
growing	5929
concentration	5918
slip	5916
in front of	5915
error	5913
roman	5911
Paris	5907
crown	5906
module	5905
queen	5901
appointment	5896
fig.	5896
undertake	5892
enterprise	5889
load	5887
weather	5884
perfect	5883
recommend	5883
sufficient	5882
everybody	5881
soft	5874
democratic	5874
absence	5872
criminal	5871
eastern	5871
manner	5868
nobody	5860
weapon	5858
birth	5851
assembly	5850
irish	5846
ought	5845
o	5841
settlement	5840
silence	5839
narrow	5838
=	5836
bottle	5835
teaching	5833
recognize	5830
quick	5828
command	5819
pool	5817
easier	5815
educational	5810
criticism	5803
scientific	5800
fee	5799
instruction	5792
component	5789
implication	5783
temperature	5782
defeat	5775
whilst	5775
1984	5769
recognition	5768
lock	5755
largest	5746
expensive	5746
sequence	5728
President	5725
export	5719
mental	5716
frequently	5712
expenditure	5706
solicitor	5699
republic	5693
totally	5693
increased	5692
publication	5684
brief	5680
neck	5677
absolutely	5672
1993	5665
instead of	5660
mix	5658
household	5651
1983	5649
bedroom	5635
dangerous	5630
critical	5627
treaty	5626
40	5622
lunch	5614
necessarily	5609
elsewhere	5606
journey	5603
pleasure	5601
familiar	5600
index	5597
favour	5596
moral	5593
partly	5581
academic	5579
sort of	5579
21	5578
ear	5578
circle	5571
border	5568
wash	5567
curriculum	5564
Darlington	5563
seriously	5560
widely	5557
1981	5556
tory	5552
conclude	5552
guest	5548
afraid	5548
unlikely	5547
organise	5545
congress	5544
specialist	5535
metal	5532
brain	5530
properly	5530
initiative	5530
taste	5522
violence	5519
illustrate	5513
resident	5511
realize	5511
connection	5510
imply	5509
favourite	5505
smoke	5504
scientist	5502
Do	5498
assumption	5497
historical	5493
wild	5493
emphasis	5490
r	5485
Liverpool	5480
southern	5480
guarantee	5473
opening	5469
root	5468
instrument	5456
ministry	5454
increasing	5447
gun	5445
Jesus	5445
investigate	5442
theme	5439
closely	5437
till	5435
location	5435
generate	5433
reading	5429
learning	5424
Friday	5424
italian	5421
gallery	5417
for instance	5416
hill	5411
1979	5407
communist	5400
remark	5385
cat	5384
beside	5383
novel	5372
thousands	5366
fuel	5363
tool	5357
motion	5356
contemporary	5356
sky	5354
priority	5353
mp	5351
upper	5350
interpretation	5343
combination	5341
fan	5339
motor	5331
advise	5323
North	5323
rely	5319
disappear	5317
constant	5311
revenue	5309
membership	5309
Ian	5308
ban	5307
urban	5307
coal	5304
succeed	5304
earn	5300
wing	5299
noise	5295
22	5292
witness	5290
fashion	5277
19	5274
gate	5271
Jack	5266
thin	5257
Martin	5255
elect	5250
least	5250
approve	5241
hurt	5238
inform	5238
writing	5236
smell	5236
castle	5234
remind	5225
soldier	5223
afford	5221
shut	5219
suspect	5216
apparent	5216
no one	5213
variation	5211
married	5207
corp	5205
tiny	5197
Tom	5196
iron	5190
knock	5190
faith	5187
prepared	5182
chain	5181
winner	5175
fifteen	5172
supposed	5170
literature	5162
bright	5161
kick	5160
grey	5158
kiss	5156
dispute	5154
1980	5148
Monday	5144
shock	5142
incident	5138
maximum	5138
principal	5137
derive	5123
aye	5121
suggestion	5120
lean	5107
tone	5107
criterion	5102
licence	5101
younger	5099
in particular	5094
hate	5091
guard	5091
Alan	5084
valley	5083
minimum	5080
leaf	5080
1982	5077
religion	5076
hell	5071
Italy	5071
tooth	5071
ltd	5069
foundation	5060
frame	5060
attractive	5051
greatest	5050
quote	5048
careful	5046
cast	5046
blame	5045
fruit	5040
31	5037
busy	5035
vital	5035
passage	5034
bid	5029
representation	5028
etc	5027
effectively	5020
recover	5018
deputy	5015
persuade	5014
device	5010
ill	5006
restaurant	4998
fellow	4995
fun	4994
iii	4993
soil	4987
variable	4987
indian	4986
pocket	4983
gather	4976
breath	4975
cope	4973
wake	4970
shot	4964
Manchester	4964
ancient	4962
Usa	4961
champion	4958
Tony	4952
According to	4939
Australia	4937
coast	4937
negative	4932
pub	4931
28	4930
permit	4929
marketing	4928
engineering	4928
creation	4923
mechanism	4921
minor	4917
clause	4916
observation	4915
even though	4914
external	4910
brown	4909
milk	4905
elderly	4903
defendant	4884
panel	4877
subject to	4872
abuse	4860
african	4859
wider	4841
attach	4840
e.g.	4835
championship	4835
liability	4833
secondary	4831
diet	4830
revolution	4829
atmosphere	4828
engineer	4828
distinction	4826
capable	4824
as though	4819
highest	4815
g	4814
impression	4810
neighbour	4805
leadership	4805
broad	4803
negotiation	4803
Leeds	4803
Major	4802
typical	4797
welfare	4792
fix	4785
beneath	4779
plenty	4775
explore	4775
roof	4774
Ibm	4770
anybody	4767
god	4765
deposit	4764
establishment	4759
tank	4754
outline	4753
troops	4743
shoe	4736
billion	4735
meanwhile	4729
23	4728
trend	4727
beach	4722
ticket	4719
h	4716
accompany	4715
ta	4712
mirror	4711
fat	4707
equivalent	4706
expense	4703
origin	4701
entire	4700
drawing	4692
catholic	4686
hence	4684
nineteen	4680
worst	4679
accuse	4677
cancer	4672
wonderful	4671
construct	4670
premise	4669
and so on	4668
exclude	4668
convention	4654
tip	4649
height	4648
coach	4644
along with	4639
rail	4636
urge	4635
fundamental	4635
significance	4633
pause	4632
honour	4629
palace	4628
wheel	4627
citizen	4626
East	4619
Bill	4616
India	4615
rare	4614
withdraw	4613
editor	4607
China	4607
swing	4606
prince	4604
outcome	4604
bone	4602
vision	4600
corporate	4599
enemy	4597
monitor	4594
biggest	4589
vast	4585
gift	4581
steal	4581
bomb	4580
grand	4579
Jones	4579
pop	4577
cook	4576
schedule	4576
via	4575
warning	4575
label	4571
cool	4569
severe	4567
ooh	4566
achievement	4566
comparison	4564
pursue	4564
nose	4559
shadow	4558
cycle	4555
unlike	4554
unfortunately	4552
expectation	4550
guess	4541
i.e.	4537
somewhat	4535
tenant	4535
plain	4533
pilot	4532
manufacturer	4529
collapse	4529
Christ	4529
strongly	4528
democracy	4525
servant	4519
radical	4515
justify	4514
parish	4511
lesson	4509
notion	4508
camp	4505
thick	4502
plane	4500
complaint	4496
string	4496
permanent	4495
inflation	4493
surround	4493
lawyer	4493
prisoner	4491
rapidly	4484
co	4476
closer	4473
pleased	4468
corporation	4463
similarly	4461
Andrew	4459
split	4456
abandon	4455
passenger	4447
amongst	4447
rush	4446
import	4446
afterwards	4446
Chris	4445
finding	4444
originally	4443
terrible	4442
territory	4442
trace	4440
ourselves	4432
Spain	4432
breakfast	4431
coat	4430
in relation to	4428
surprised	4428
yellow	4428
being	4427
Un	4424
charity	4424
prize	4417
desk	4416
independence	4415
gap	4410
phrase	4409
accommodation	4403
crucial	4402
lots	4399
Kingdom	4398
King	4397
supporter	4396
Brian	4396
implement	4392
o'clock	4392
repair	4391
inner	4391
formation	4387
sharp	4384
transaction	4384
boundary	4377
occupy	4377
crash	4375
database	4364
connect	4362
knee	4357
Yorkshire	4356
tower	4355
column	4354
exception	4354
buyer	4352
unknown	4349
resolve	4347
resolution	4345
appreciate	4345
26	4341
used	4340
Steve	4339
engage	4336
sick	4334
virtually	4333
inquiry	4331
funny	4331
host	4329
tall	4329
Anne	4328
topic	4328
minority	4327
perfectly	4324
politician	4321
Northern	4319
f	4313
odd	4312
grass	4312
dominate	4309
unique	4307
massive	4306
assistance	4306
sixty	4303
Wednesday	4300
ease	4299
fault	4295
beauty	4294
draft	4280
subsequent	4276
slide	4275
27	4274
metre	4273
preparation	4272
plastic	4272
assistant	4272
Russia	4265
identity	4264
incorporate	4259
Bbc	4249
currency	4249
extreme	4249
proceedings	4246
unix	4244
sink	4241
complain	4240
parliamentary	4236
rank	4235
